type;name;carrier;tech;expandable;primary;capacity;capacity_cost;from_bus_0;from_bus_1;to_bus_0;to_bus_1;conversion_factor_seawater-bus;conversion_factor_ac-elec-bus;conversion_factor_permeate-bus;conversion_factor_brine-bus;capex;opex_fix;lifetime; CO2_emissions; land_requirement_factor; water_footprint; verbose_name
mimo;swro;water;desalinator;True;seawater-bus;0.0;77.93;feed-bus;ac-elec-bus;permeate-bus;brine-bus;1.0;4;0.45;0.55;500.0;10.0;10.0;;10.0;;"Seawater Reverse Osmosis"
mimo;bwro;water;desalinator;True;groundwater-bus;0.0;;feed-bus;ac-elec-bus;permeate-bus;brine-bus;1.0;4;0.45;0.55;500.0;10.0;10.0;;10.0;;"Brackish Water Reverse Osmosis"
mimo;ed;water;desalinator;True;groundwater-bus;0.0;;feed-bus;ac-elec-bus;permeate-bus;brine-bus;1.0;4;0.45;0.55;500.0;10.0;10.0;;10.0;;"Electrodialysis System"
mimo;md;water;desalinator;True;groundwater-bus;0.0;;feed-bus;ac-elec-bus;permeate-bus;brine-bus;1.0;4;0.45;0.55;500.0;10.0;10.0;;10.0;;"Membrane Distilation System"
