Year;Net Cash Flow;Cummulated Net Cash Flow
2023;-97188691.21;-97188691.21
2024;10843481.09;-86345210.12
2025;11066213.75;-75278996.36
2026;3900698.43;-71378297.93
2027;2425910.18;-68952387.75
2028;1222021.451;-67730366.3
2029;20943614.4;-46786751.91
2030;-8522798.347;-55309550.25
2031;8793880.383;-46515669.87
2032;-3611068.335;-50126738.2
2033;3623200.835;-46503537.37
2034;-4003795.85;-50507333.22
2035;30235001.82;-20272331.4
2036;-34158035.9;-54430367.29
2037;16807342.74;-37623024.56
2038;15198601.17;-22424423.38
2039;54803933.23;32379509.85
2040;37479910.04;69859419.89
2041;39377741.67;109237161.6
2042;-52825072.87;56412088.7
2043;40163167.52;96575256.22
2044;25501919.49;122077175.7
2045;122744769.5;244821945.2
2046;91689812.69;336511757.9
2047;96008359.17;432520117
2048;-99128007.19;333392109.9
