name;type;balanced;carrier
seawater-bus;bus;True;water
ac-elec-bus;bus;True;electricity
dc-elec-bus;bus;True;electricity
brine-bus;bus;True;water
solar-energy-bus;bus;True;energy
banana-bus;bus;True;biomass
wind-bus;bus;True;energy
drinking-water-bus;bus;True;water
service-water-bus;bus;True;water
precipitation-bus;bus;True;water
irrigation-bus;bus;True;water
diesel-bus;bus;True;energy
groundwater-bus;bus;True;water
riverflow-bus;bus;True;water
biofuel-bus;bus;True;fuel
tap-water-bus;bus;True;water
human-feces-bus;bus;True;feces
human-urine-bus;bus;True;urine
animal-feces-bus;bus;True;feces
animal-urine-bus;bus;True;urine
black-water-bus;bus;True;water
grey-water-bus;bus;True;water
wwtp-ip-water-bus;bus;True;water
wwtp-op-water-bus;bus;True;water
biomass-waste-bus;bus;True;biomass
dry-feces-bus;bus;True;dry-feces
compost-bus;bus;True;compost
water-in-bus;bus;True;water
water-out-bus;bus;True;water
biogas-bus;bus;True;biogas
