name;type;carrier;tech;capacity;capacity_cost;capacity_potential;marginal_cost;carrier_cost;annuity;capex;opex_fix;lifetime;specific_energy_consumption;efficiency;resource_cost;land_requirement_factor;ghg_emission_factor;water_consumption_factor;electricity_bus;water_in_bus;water_out_bus;brine_out_bus;waste_biomass_out_bus;N2_gas_bus;expandable;verbose_name
electrodialysis;electrodialysis;water;water-treatment;0.;700.0;+inf;0.;0.;0.0;1400.0;40.0;15.0;0.90;0.75;0.0;0.10;0.10;0.008;ac-elec-bus;groundwater-bus;drinking-water-bus;brine-bus;;;True;Electrodialysis
ion_exchange;ion_exchange;water;water-treatment;0.;450.0;+inf;0.;0.;0.0;1000.0;50.0;12.0;0.06;0.96;0.0;0.12;0.08;0.04;ac-elec-bus;groundwater-bus;drinking-water-bus;;;;True;Ion Exchange
simple_oxidation;simple_oxidation;water;water-treatment;0.;250.0;+inf;0.;0.;0.0;700.0;35.0;15.0;0.07;;0.0;0.08;0.06;0.008;ac-elec-bus;groundwater-bus;drinking-water-bus;;;;True;Simple Oxidation
ozonation;ozonation;water;water-treatment;0.;700.0;+inf;0.;0.;0.0;1200.0;50.0;15.0;;;0.0;0.12;0.08;0.008;ac-elec-bus;groundwater-bus;drinking-water-bus;;;;True;Ozonation
biological_denitrification;biological_denitrification;water;water-treatment;0.;300.0;+inf;0.;0.;0.0;1000.0;35.0;20.0;0.008;;0.0;0.8;0.04;0.0;ac-elec-bus;groundwater-bus;drinking-water-bus;;;N2-bus;True;Biological Denitrification
photocatalysis;photocatalysis;water;water-treatment;0.;600.0;+inf;0.;0.;0.0;1200.0;45.0;10.0;0.12;;0.0;0.10;0.07;0.008;ac-elec-bus;groundwater-bus;drinking-water-bus;;;;True;Photocatalysis
intake_structure;intake_structure;water;water-treatment;0.;200.0;+inf;0.;0.;0.0;1000.0;20.0;40.0;0.008;0.98;0.0;0.20;0.01;0.0;ac-elec-bus;groundwater-bus;drinking-water-bus;;;;True;Intake Structure
coarse_bar_screen;coarse_bar_screen;water;water-treatment;0.;200.0;+inf;0.;0.;0.0;700.0;20.0;25.0;0.04;0.90;0.0;0.12;0.03;0.0;ac-elec-bus;groundwater-bus;drinking-water-bus;;;;True;Coarse Bar Screen
coagulation_flocculation;coagulation_flocculation;water;water-treatment;0.;300.0;+inf;0.;0.;0.0;700.0;20.0;25.0;0.04;0.95;0.0;0.3;0.05;0.008;ac-elec-bus;groundwater-bus;drinking-water-bus;;;;True;Coagulation Flocculation
distillation;distillation;water;water-treatment;0.;700.0;+inf;0.;0.;0.0;1400.0;55.0;20.0;0.80;0.70;0.0;0.3;0.12;0.02;ac-elec-bus;groundwater-bus;drinking-water-bus;brine-bus;;;True;Distillation
membrane_distillation;membrane_distillation;water;water-treatment;0.;700.0;+inf;0.;0.;0.0;1400.0;70.0;15.0;5.0;0.75;0.0;0.3;0.12;0.01;ac-elec-bus;groundwater-bus;drinking-water-bus;brine-bus;;;True;Membrane Distillation
boiling;boiling;water;water-treatment;0.;600.0;+inf;0.;0.;0.0;1200.0;50.0;15.0;0.80;0.70;0.0;0.3;0.12;0.02;ac-elec-bus;groundwater-bus;drinking-water-bus;;;;True;Boiling
reverse_osmosis;reverse_osmosis;water;water-treatment;0.;700.0;+inf;0.;0.;0.0;1400.0;55.0;12.0;1.2;0.55;0.0;0.10;0.12;0.5;ac-elec-bus;groundwater-bus;drinking-water-bus;brine-bus;;;True;Reverse Osmosis
fine_screen;fine_screen;water;water-treatment;0.;250.0;+inf;0.;0.;0.0;800.0;20.0;25.0;0.04;0.99;0.0;0.12;0.03;0.0;ac-elec-bus;groundwater-bus;drinking-water-bus;;;;True;Fine Screen
grit_chamber;grit_chamber;water;water-treatment;0.;150.0;+inf;0.;0.;0.0;700.0;20.0;30.0;0.015;0.98;0.0;0.20;0.03;0.0;ac-elec-bus;groundwater-bus;drinking-water-bus;;;;True;Grit Chamber
