name;type;carrier;tech;capacity;capacity_cost;capacity_potential;marginal_cost;carrier_cost;annuity;capex;opex_fix;lifetime;specific_energy_consumption;efficiency;resource_cost;land_requirement_factor;ghg_emission_factor;water_consumption_factor;electricity_bus;water_in_bus;water_out_bus;brine_out_bus;waste_biomass_out_bus;N2_gas_bus;expandable;verbose_name
cartridge_filter;cartridge_filter;water;water-treatment;0.;300.0;+inf;0.;0.;0.0;600.0;30.0;15.0;0.06;0.97;0.0;0.08;0.04;0.0;ac-elec-bus;groundwater-bus;drinking-water-bus;;;;True;Cartridge Filter
activated_carbon_filter;activated_carbon_filter;water;water-treatment;0.;400.0;+inf;0.;0.;0.0;600.0;20.0;10.0;0.05;0.97;0.0;0.08;0.04;0.008;ac-elec-bus;groundwater-bus;drinking-water-bus;;;;True;Activated Carbon Filter
chlorination;chlorination;water;water-treatment;0.;250.0;+inf;0.;0.;0.0;700.0;35.0;15.0;0.06;;0.0;0.12;0.06;0.008;ac-elec-bus;groundwater-bus;drinking-water-bus;;;;True;Chlorination Unit
microfiltration;microfiltration;water;water-treatment;0.;600.0;+inf;0.;0.;0.0;1200.0;50.0;12.0;0.20;0.97;0.0;0.12;0.07;0.04;ac-elec-bus;groundwater-bus;drinking-water-bus;brine-bus;;;True;Microfiltration
ultrafiltration;ultrafiltration;water;water-treatment;0.;700.0;+inf;0.;0.;0.0;1300.0;50.0;12.0;0.25;0.98;0.0;0.12;0.07;0.04;ac-elec-bus;groundwater-bus;drinking-water-bus;brine-bus;;;True;Ultrafiltration
nanofiltration;nanofiltration;water;water-treatment;0.;1000.0;+inf;0.;0.;0.0;2000.0;60.0;12.0;0.50;0.90;0.0;0.12;0.10;0.08;ac-elec-bus;groundwater-bus;drinking-water-bus;brine-bus;;;True;Nanofiltration
ceramic_filter;ceramic_filter;water;water-treatment;0.;200.0;+inf;0.;0.;0.0;150.0;15.0;8.0;0.02;0.97;0.0;0.04;0.03;0.0;ac-elec-bus;groundwater-bus;drinking-water-bus;;;;True;Ceramic Filter
slow_sand_filter;slow_sand_filter;water;water-treatment;0.;300.0;+inf;0.;0.;0.0;700.0;20.0;25.0;0.015;0.98;0.0;2.5;0.06;0.0;ac-elec-bus;groundwater-bus;drinking-water-bus;;;;True;Slow Sand Filter
uv_disinfection;uv_disinfection;water;water-treatment;0.;300.0;+inf;0.;0.;0.0;700.0;40.0;12.0;0.06;;0.0;0.10;0.06;0.005;ac-elec-bus;groundwater-bus;drinking-water-bus;;;;True;UV-Disinfection
adsorption;adsorption;water;water-treatment;0.;400.0;+inf;0.;0.;0.0;700.0;30.0;12.0;0.06;;0.0;0.10;0.06;0.008;ac-elec-bus;groundwater-bus;drinking-water-bus;;;;True;Adsorption
biofiltration;biofiltration;water;water-treatment;0.;300.0;+inf;0.;0.;0.0;1000.0;40.0;25.0;0.12;0.85;0.0;2.0;0.06;0.005;ac-elec-bus;groundwater-bus;drinking-water-bus;;biomass-bus;;True;Biofiltration
