name;type;carrier;tech;capacity;capacity_cost;capacity_potential;marginal_cost;carrier_cost;capex;opex_fix;lifetime;specific_energy_consumption;efficiency;resource_cost;land_requirement_factor;ghg_emission_factor;water_consumption_factor;electricity_bus;water_in_bus;water_out_bus;sludge_out_bus;expandable;verbose_name
septic_system;septic_system;water;wastewater-treatment;0.;100.0;+inf;0.;0.;200.0;30.0;35.0;0.13;0.70;0.0;0.1;0.050;0.02;ac-elec-bus;grey-water-bus;wwtp-ip-water-bus;biomass-bus;True;Septic System
centralized_WWTP;centralized_WWTP;water;wastewater-treatment;0.;625.0;+inf;0.;0.;1400.0;50.0;30.0;1.0;0.92;0.0;0.14;0.4;0.02;ac-elec-bus;wwtp-ip-water-bus;wwtp-op-water-bus;biomass-bus;True;Centralized Wastewater Treatment Plant
decentralized_WWTP;decentralized_WWTP;water;wastewater-treatment;0.;275.0;+inf;0.;0.;650.0;35.0;25.0;0.35;0.80;0.0;1.0;0.1;0.02;ac-elec-bus;wwtp-ip-water-bus;wwtp-op-water-bus;biomass-bus;True;Decentralized Wastewater Treatment Plant
