name;type;carrier;tech;storage_capacity;storage_capacity_potential;capacity;efficiency;capacity_cost;storage_capacity_cost;marginal_cost;annuity;capex;opex_fix;lifetime;resource_cost;land_requirement_factor;ghg_emission_factor;water_consumption_factor;bus;invest_relation_output_capacity;invest_relation_input_output;output_parameters;expandable;verbose_name
battery-storage;storage;electricity;battery;0.;+inf;0.0;0.9;0.0;0.0;0.0;0.0;850.0;20.0;12.5;0.0;3.0;0.0;0.0;dc-elec-bus;1.0;1.0;{};True;"Battery Storage"
drinking-water-storage;storage;water;water-storage;0.;+inf;0.0;0.98;0.0;0.0;0.0;0.0;300;7.5;20.0;0.0;1.5;0.0;0.0;drinking-water-bus;0.02;1.0;{};True;Drinking Water Storage
service-water-storage;storage;water;water-storage;0.;+inf;0.0;0.98;0.0;0.0;0.0;0.0;186;2.5;20.0;0.0;1.7;0.0;0.0;service-water-bus;0.02;1.0;{};True;Service Water Storage
