name;type;carrier;tech;capacity;capacity_cost;bus;marginal_cost;resource_cost;profile;output_parameters;expandable;salinity;verbose_name
groundwater;dispatchable;water;source;0.;0.;groundwater-bus;0.;0.;1.;{};true;0.0;"Groundwater"
seawater;dispatchable;water;source;0.;0.;seawater-bus;0.;0.;1.;{};true;0.0;"Seawater"
lake-water;dispatchable;water;source;0.;0.;lake-water-bus;0.;0.;1.;{};true;0.0;"Lake Water"
river-water;dispatchable;water;source;0.;0.;river-water-bus;0.;0.;1.;{};true;0.0;"River/Creek Water"
rainwater-harvesting;volatile;water;source;0.;0.;rain-water-bus;0.;0.;1.;{};true;0.0;"Rainwater Harvesting"
tap-water;dispatchable;water;source;0.;0.;tap-water-bus;0.;30.;1.;{};true;0.0;"Tap Water"
truck-water;dispatchable;water;source;0.;0.;truck-water-bus;0.;50.;1.;{};true;0.0;"Water delievered by a Truck"
bottled-water;dispatchable;water;source;0.;0.;bottled-water-bus;0.;100.;1.;{};true;0.0;"Bottled Water"
