name;type;carrier;tech;capacity;capacity_cost;capacity_potential;marginal_cost;carrier_cost;annuity;capex;opex_fix;lifetime;specific_energy_consumption;efficiency;resource_cost;land_requirement_factor;ghg_emission_factor;water_consumption_factor;electricity_bus;water_in_bus;water_out_bus;expandable;verbose_name
constructed_wetland;constructed_wetland;water;wastewater-treatment;0.;300.0;+inf;0.;0.;0.0;600.0;25.0;35.0;0.07;0.90;0.0;3.0;0.2;0.02;ac-elec-bus;grey-water-bus;wwtp-ip-water-bus;True;Constructed Wetland
water_reuse_system;water_reuse_system;water;wastewater-treatment;0.;1000.0;+inf;0.;0.;0.0;2000.0;60.0;25.0;0.90;0.90;0.0;0.2;0.5;0.04;ac-elec-bus;wwtp-op-water-bus;service-water-bus;True;Water Recycling and Reuse System
